-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.5   Longitude -75.25 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1291.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2015,3,9,1.52
2015,3,10,1.51
2015,3,11,1.76
2015,3,12,1.29
2015,3,13,1.09
2015,3,14,1.64
2015,3,15,1.16
2015,3,16,1.58
2015,3,17,1.7
2015,3,18,1.03
2015,3,19,1.34
2015,3,20,1.51
2015,3,21,1.38
2015,3,22,1.76
2015,3,23,1.7
2015,3,24,1.72
2015,3,25,1.38
2015,3,26,1.5
2015,3,27,1.22
2015,3,28,1.0
2015,3,29,0.9
2015,3,30,1.34
2015,3,31,1.36
2015,4,1,1.55
2015,4,2,0.99
2015,4,3,0.92
2015,4,4,1.34
2015,4,5,0.95
2015,4,6,1.01
2015,4,7,1.03
2015,4,8,1.22
2015,4,9,1.64
2015,4,10,1.6
2015,4,11,1.79
2015,4,12,1.86
2015,4,13,1.03
2015,4,14,1.09
2015,4,15,1.06
2015,4,16,1.45
2015,4,17,1.11
2015,4,18,1.11
2015,4,19,1.2
2015,4,20,0.97
2015,4,21,0.99
2015,4,22,1.48
2015,4,23,1.72
2015,4,24,1.23
2015,4,25,0.98
2015,4,26,1.34
2015,4,27,1.23
2015,4,28,1.11
2015,4,29,1.12
2015,4,30,1.15
2015,5,1,1.38
2015,5,2,1.27
2015,5,3,1.37
2015,5,4,1.7
2015,5,5,1.62
2015,5,6,1.29
2015,5,7,1.22
2015,5,8,1.25
2015,5,9,1.57
2015,5,10,1.12
2015,5,11,1.22
2015,5,12,1.57
2015,5,13,1.38
2015,5,14,1.18
2015,5,15,1.42
2015,5,16,1.45
2015,5,17,1.23
2015,5,18,1.3
2015,5,19,1.43
2015,5,20,1.41
2015,5,21,1.12
2015,5,22,1.33
2015,5,23,1.06
2015,5,24,1.21
2015,5,25,0.78
2015,5,26,1.13
2015,5,27,1.17
2015,5,28,0.92
2015,5,29,1.2
2015,5,30,0.69
2015,5,31,0.98
2015,6,1,1.08
2015,6,2,1.1
2015,6,3,1.35
2015,6,4,1.09
2015,6,5,1.15
2015,6,6,1.23
2015,6,7,1.15
2015,6,8,0.97
2015,6,9,1.24
2015,6,10,1.39
2015,6,11,1.17
2015,6,12,1.18
2015,6,13,1.12
2015,6,14,1.25
2015,6,15,1.14
2015,6,16,1.39
2015,6,17,1.72
2015,6,18,1.44
2015,6,19,1.41
2015,6,20,1.66
2015,6,21,1.53
2015,6,22,1.47
2015,6,23,1.54
2015,6,24,1.77
2015,6,25,1.5
2015,6,26,1.91
2015,6,27,1.62
2015,6,28,1.57
2015,6,29,1.38
2015,6,30,1.44
2015,7,1,1.53
2015,7,2,1.37
2015,7,3,1.56
